"leverancier"	"aantal_kostensoorten"	"totaal_staffel"	"diversity"
"Intrum Justitia"	27	27	27
"MYbusinessmedia (vh Media Business Press)"	27	27	27
"Spize Asian Bistro Restaurant"	27	27	27
"In2Content"	32	38	26.9473684210526
"PBLQ (HEC, ROI, Zenc)"	72	193	26.860103626943
"Oud Poelgeest"	33	41	26.5609756097561
"EHM Hotels (incl. Apollo Hotels & Resorts)"	30	34	26.4705882352941
"Igo Post Internationale Geschenken Organisatie"	30	34	26.4705882352941
"Luden Restaurant&Brasserie"	30	34	26.4705882352941
"De Prom Utrecht (incl. Vredenburg)"	29	32	26.28125
"Stichting Kontakt der Kontinenten Conferentiehotel"	34	44	26.2727272727273
"De Baak incl. Seaside, Administratie, Hospitality, Management Centrum"	53	107	26.2523364485981
"Spaces Rode Olifant"	40	61	26.2295081967213
"Sodexo"	61	142	26.2042253521127
"Pardon Consult (vh Wassenaar Consult)"	28	30	26.1333333333333
"De Ooievaart - Ga Den Haag"	26	26	26
"Lumenz Talentontwikkeling (incl. Om de hoek)"	26	26	26
"ROC Mondriaan"	26	26	26
"Postillion Hotels"	31	37	25.972972972973
"Novotel"	33	42	25.9285714285714
"UTS UniGroup Worlwide incl. UGRN, APC verhuizen"	55	117	25.8547008547009
"Bakker & Schnabel Training"	30	35	25.7142857142857
"Bartimeus (incl. Stichting Bartiméus Accessibility)"	30	35	25.7142857142857
"Lasaulec"	29	33	25.4848484848485
"Aaaaha! The Actor Factory"	31	38	25.2894736842105
"Maxilia (incl. Greengiving.nl)"	27	29	25.1379310344828
"Staples (incl. Advantage, Corporate Express)"	54	116	25.1379310344828
"Quovadis Trustlink"	34	46	25.1304347826087
"BJU Boom Juridische Uitgevers (incl. Sun)"	47	88	25.1022727272727
"Albyco"	25	25	25
"Aloys Roemaat Transport"	30	36	25
"Banketbakkerij Maison Kelder"	25	25	25
"Besseling Vervoert"	25	25	25
"Boels Verhuur (incl. HuurMax)"	30	36	25
"De Observant Stadscafé"	25	25	25
"Hotel Des Indes Le Meridien, Lehwood"	25	25	25
"Nationale Beeldbank"	25	25	25
"Pan Café Restaurant"	25	25	25
"Poentjak Indonesisch Restaurant"	25	25	25
"Schurgers Sleutelservice"	25	25	25
"Theaterhotel De Oranjerie"	30	36	25
"Lloyd's Register (incl. Cedeo)"	34	47	24.5957446808511
"Koninklijke Ahrend (incl. Ahrend Inrichtingen)"	55	126	24.0079365079365
"Cloos Eetcafé"	24	24	24
"Het Kabinet Eten en Drinken"	24	24	24
"La Place Catering Service Restaurant"	24	24	24
"Polman's Café-Restaurant"	24	24	24
"Prodemos/Huis voor Democratie en Rechtstaat"	24	24	24
"Pulchri Studio"	24	24	24
"Stayokay"	24	24	24
"Vakmedianet Management"	24	24	24
"Den Haag Marketing & Events"	42	74	23.8378378378378
"HSK Groep"	34	49	23.5918367346939
"Aristo Holding"	27	31	23.5161290322581
"Koninklijke Fabr. Posthumus (PS Groep)"	27	31	23.5161290322581
"RAI Amsterdam"	27	31	23.5161290322581
"HOEZO! Projectmanagement en Congresorganisatie"	31	41	23.4390243902439
"A. van Helden Relatiegeschenken, Reclameartikelen"	26	29	23.3103448275862
"Taat & De Regt"	37	59	23.2033898305085
"De Wilt Cyrox Groep"	25	27	23.1481481481481
"Eden Hotels"	25	27	23.1481481481481
"Pol.nl Wegbebakening, Bewegwijzering, Politietechniek"	25	27	23.1481481481481
"Amsterdam Airport Schiphol"	52	117	23.1111111111111
"Capgemini"	91	359	23.066852367688
"Het Notuleercentrum Opleidingen"	28	34	23.0588235294118
"Athene Palace Grieks Restaurant"	23	23	23
"Het Scheepvaartmuseum Enterprise Stichting"	23	23	23
"Koken Op Maat"	23	23	23
"Le Connaisseur Grand Restaurant"	23	23	23
"NDC Mediagroep"	23	23	23
"Office Depot (incl. Viking Direct, vh Guilbert)"	23	23	23
"Pantem / Leopold Cafe-Restaurant"	23	23	23
"Simonis Oude Visafslag (incl. Catch Restaurant)"	23	23	23
"Sleutelservice.com"	23	23	23
"VNSG Vereniging Nederlandstalige SAP Gebruikers"	23	23	23
"Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia)"	29	37	22.7297297297297
"Euroforum"	26	30	22.5333333333333
"Still Intern Transport"	26	30	22.5333333333333
"Multi Post Nederland"	28	35	22.4
"Rohde & Grahl (incl. Working Well)"	39	68	22.3676470588235
"Artihove"	32	46	22.2608695652174
"Siemens Nederland"	49	108	22.2314814814815
"Concorde Group"	34	52	22.2307692307692
"Alphatron Communicatie, Observatie, Navigatie"	24	26	22.1538461538462
"La Vina Restaurant"	24	26	22.1538461538462
"Vereniging Tot Behoud van Natuurmonumenten"	24	26	22.1538461538462
"Ibis Accor Hotels"	27	33	22.0909090909091
"Tyrilo (incl. Oscars restaurant)"	27	33	22.0909090909091
"Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect)"	39	69	22.0434782608696
"De Tuinkamer"	22	22	22
"Domstad Hogeschool, Cursus- en Vergadercentrum"	22	22	22
"Frama Nederland"	22	22	22
"Geurst (incl. Pastis Restaurant)"	22	22	22
"Igluu Workspace For Professionals"	22	22	22
"MT Abonnementenland"	22	22	22
"Nestle Waters Direct (incl. Nutrition, Aqua System)"	22	22	22
"Novagraaf Nederland"	22	22	22
"Compass Group Nederland (incl. Eurest, ECS Catering, Avenance)"	52	123	21.9837398373984
"ANWB"	30	41	21.9512195121951
"Misco Nederland"	34	53	21.811320754717
"Misco Solutions (vh SCC Services)"	68	212	21.811320754717
"Innovero Software Solutions (incl. FormDesk)"	26	31	21.8064516129032
"Berenschot Groep (incl. HB, KSG, Mazars Berenschot)"	56	144	21.7777777777778
"Hulskamp Audiovisueel"	28	36	21.7777777777778
"Park Plaza"	28	36	21.7777777777778
"Linde Gas (incl. Cryoservice en Therapeutics)"	29	39	21.5641025641026
"VVV Nederland"	44	90	21.5111111111111
"OBT - Opmeer/De Bink/Tds - Boekdruk"	35	57	21.4912280701754
"Conferentiecentrum Kaap Doorn"	27	34	21.4411764705882
"Madurodam"	30	42	21.4285714285714
"UPC Nederland"	30	42	21.4285714285714
"Jungheinrich Nederland"	32	48	21.3333333333333
"Waterlogic/Watercompany International"	24	27	21.3333333333333
"Eden Springs"	23	25	21.16
"Fabory Nederland"	23	25	21.16
"Mk2 Visuele Media"	23	25	21.16
"Oud London Catering-Hotel-Restaurant"	23	25	21.16
"Primera"	23	25	21.16
"RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek)"	23	25	21.16
"Kiwa Groep (incl. Gas Technology, Prismant, Certification)"	26	32	21.125
"Winkel van Sinkel Cultureel"	26	32	21.125
"Ardis Management Development"	49	114	21.0614035087719
"De Telefoongids (KPN)"	22	23	21.0434782608696
"Barlow Bar & Restaurant / Lafayette Cafe / Tilkema"	21	21	21
"Gefelicitaart"	21	21	21
"Istana Indonesisch Restaurant"	21	21	21
"Multigift Relatiegeschenken"	21	21	21
"Paul Verhuurbedrijf"	21	21	21
"Shabu Shabu"	21	21	21
"Speakers Academy"	21	21	21
"Vide Beroepsvereniging"	21	21	21
"Wijnkoperij Henri Bloem"	21	21	21
"Neopost (incl. Neopost Finance)"	31	46	20.8913043478261
"BCN Business Centre Nederland"	25	30	20.8333333333333
"Hof der Muzen Grand Cafe (J. Kos)"	24	28	20.5714285714286
"Sligro (incl. van Hoeckel)"	33	53	20.5471698113208
"Scholten Awater & Partners"	69	232	20.5215517241379
"Topdesk"	32	50	20.48
"Schouten Global (incl. Schouten & Nelissen Groep, Thema)"	44	95	20.3789473684211
"Canon (incl. Océ Nederland)"	45	100	20.25
"Fedex - Federal Express"	22	24	20.1666666666667
"Hilton"	22	24	20.1666666666667
"&Maes"	22	24	20.1666666666667
"'T Goude Hooft Beheer Equus Stadsherberg, Hotel"	22	24	20.1666666666667
"Absoluta Food and Facilities"	25	31	20.1612903225806
"Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT)"	54	145	20.1103448275862
"Intermax"	31	48	20.0208333333333
"Albron Catering"	50	125	20
"Arenda Oomen Fotografie"	20	20	20
"DoeNederland.nl"	20	20	20
"Princeville Hotel Breda"	20	20	20
"PVIB Platform Voor Informatiebeveiliging"	20	20	20
"Regina Bloemsierkunst"	20	20	20
"Specialtours Events"	20	20	20
"Imtech (incl. Radio Holland, Bostec)"	53	141	19.9219858156028
"Technogym the Wellness Company"	26	34	19.8823529411765
"Randstad Group (incl. Tempo Team, P/Flex)"	43	93	19.8817204301075
"Antalis (vh Modo van Gelder en incl. Dekker Packaging)"	24	29	19.8620689655172
"Comparex (incl. PC-Ware)"	79	315	19.8126984126984
"BPI Services"	32	52	19.6923076923077
"Gemaco (vh Jos Premiums & Gifts)"	28	40	19.6
"Nederlands Instituut voor Beeld en Geluid"	23	27	19.5925925925926
"Pondres Distributie"	25	32	19.53125
"Centric (incl. Qualityhouse)"	55	155	19.5161290322581
"Hogeschool van Utrecht"	33	56	19.4464285714286
"Nilfisk Advance"	22	25	19.36
"Gerritse Ijzerwaren (inc Isero)"	21	23	19.1739130434783
"Greenz"	21	23	19.1739130434783
"Postcode.nl"	21	23	19.1739130434783
"RS Components"	21	23	19.1739130434783
"Hotel Contact/Worldmeetings"	45	106	19.1037735849057
"Koninklijke van der Most"	45	106	19.1037735849057
"Onz Restaurant"	20	21	19.047619047619
"TNO"	48	121	19.0413223140496
"Bakkerij Bart"	19	19	19
"De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum"	19	19	19
"De Lof der Zotheid Restaurant Café Diner"	19	19	19
"De Poort van Kleef Café-Restaurant"	19	19	19
"De Sleutelspecialist"	19	19	19
"Het Gevangenismuseum"	19	19	19
"KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl)"	19	19	19
"Les Ombrelles Visspecialiteiten Restaurant"	19	19	19
"Maxime Restaurant"	19	19	19
"Lagerweij & Partners"	32	54	18.962962962963
"Jaarbeurs Catering Services"	25	33	18.9393939393939
"LOI Leidse Onderwijsinstelling"	26	36	18.7777777777778
"Van Randwijk Paperflow Solutions"	26	36	18.7777777777778
"Sabel Communicatie"	38	77	18.7532467532468
"Delta International"	29	45	18.6888888888889
"De Argumentenfabriek"	28	42	18.6666666666667
"Koning & Hartman"	22	26	18.6153846153846
"Promopodium"	22	26	18.6153846153846
"USG (incl. Innotiv, Start People, Utrechtse Juristen Groep)"	40	86	18.6046511627907
"Compacon & Partners"	21	24	18.375
"FNV Formaat"	23	29	18.2413793103448
"Mitland Hotel"	23	29	18.2413793103448
"SBRCURnet Stg Bouwresearch"	28	43	18.2325581395349
"Ascom"	27	40	18.225
"Havenbedrijf Rotterdam"	27	40	18.225
"Hecla Groep"	20	22	18.1818181818182
"IBR Instituut Voor Bouwrecht"	20	22	18.1818181818182
"Nederlandse Vereniging van Maatschappelijk Werkers"	20	22	18.1818181818182
"Gullimex"	19	20	18.05
"Villa Augustus Hotel-Restaurant"	19	20	18.05
"Fox-IT, Crypto"	35	68	18.0147058823529
"Backshop"	18	18	18
"Blomberg Congres Instituut"	18	18	18
"Card Vision"	18	18	18
"De Bakkerswinkel (incl. Geelhoed Eetwinkel)"	18	18	18
"De Kookfabriek"	18	18	18
"Domino's Pizza"	18	18	18
"Euro-Index"	18	18	18
"FMN Facility Management Nederland"	18	18	18
"Gusto Mangia E Bevi"	18	18	18
"Happy Meat"	18	18	18
"Museumkwartier"	18	18	18
"Performa Uitgeverij"	18	18	18
"Pink Pepper"	18	18	18
"See You At Noon"	18	18	18
"Team Reacon"	18	18	18
"Utrecht Toerisme & Recreatie"	18	18	18
"Villa Jongerius"	18	18	18
"Viteau Watercoolers (incl. Viteau Direct)"	18	18	18
"Vroeg"	18	18	18
"Zaalverhuur 7"	18	18	18
"Mondial Movers"	39	85	17.8941176470588
"Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips)"	29	47	17.8936170212766
"CM Club Message Benelux (incl. Callfactory)"	28	44	17.8181818181818
"Q-Park"	28	44	17.8181818181818
"Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice)"	27	41	17.780487804878
"Public Partners"	27	41	17.780487804878
"Xerox"	53	158	17.7784810126582
"Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services)"	49	136	17.6544117647059
"Pouw Vervoer"	21	25	17.64
"De Witte Raaf Hotel-Restaurant"	23	30	17.6333333333333
"Top Movers"	43	105	17.6095238095238
"BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore)"	63	226	17.5619469026549
"SBI Training & Advies, Zonheuvel, Boschoord"	29	48	17.5208333333333
"Connexxion"	42	101	17.4653465346535
"Van Gansewinkel"	42	101	17.4653465346535
"Vodafone (incl. Libertel)"	59	200	17.405
"Dunea (Duinwaterbedrijf Zuid-Holland)"	30	52	17.3076923076923
"Dehullu Projekt (Dehullu Sign Sytems)"	22	28	17.2857142857143
"De Reiger Catering (incl. Nikita, Vechthuis)"	22	28	17.2857142857143
"Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice)"	22	28	17.2857142857143
"Smeba Brandbeveiliging"	22	28	17.2857142857143
"De Sniep Restaurant & Hotel"	19	21	17.1904761904762
"Expo Display Service"	19	21	17.1904761904762
"HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol"	19	21	17.1904761904762
"Sandton Hotels (incl. Sandton Malie Exploit.)"	19	21	17.1904761904762
"Kardex Systemen"	23	31	17.0645161290323
"De Raat Security Products"	18	19	17.0526315789474
"Maison De La Foret"	18	19	17.0526315789474
"Telecom Service Groep"	18	19	17.0526315789474
"Management Drives Opleidingen"	28	46	17.0434782608696
"Reisswolf"	28	46	17.0434782608696
"Beuk Touringcars"	17	17	17
"Bloemsierkunst De Klerk"	17	17	17
"Boek en Service"	17	17	17
"Centrum Quadraat"	17	17	17
"Digital Revolution"	17	17	17
"Falck Group"	34	68	17
"Gall & Gall"	17	17	17
"Hans & Frans Hessing Banketbakkerij (Hesbak)"	17	17	17
"Havana (Santé Horeca Beheer)"	17	17	17
"Impero Romano Restaurant"	17	17	17
"Jiu-Jiu - De Chinese Muur Restaurant "	17	17	17
"La Cubanita"	17	17	17
"Le Bistroquet"	17	17	17
"Nederlands Debat Instituut"	17	17	17
"NIBHV Nederlands instituut voor bedrijfshulpverlening"	17	17	17
"Nibud Nationaal Instituut voor Budgetvoorlichting "	17	17	17
"Noloc"	17	17	17
"NoRisk KeyManagement (Traka)"	17	17	17
"Plaggemars & Co Incassobureau"	17	17	17
"Royal Delft / De Porceleyne Fles"	17	17	17
"Stairway To Heaven"	17	17	17
"VMR Vereniging voor Milieurecht"	17	17	17
"WMF"	17	17	17
"Atos"	71	297	16.973063973064
"Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat)"	37	81	16.9012345679012
"Van der Hilst Communicatie-Trainingen"	26	40	16.9
"Mauritshuis"	25	37	16.8918918918919
"Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen"	29	50	16.82
"Evo Ondernemersorganisatie"	22	29	16.6896551724138
"Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte"	28	47	16.6808510638298
"Schiphol Groep (incl. Real Estate)"	43	111	16.6576576576577
"Nauta Security Storage"	23	32	16.53125
"First Service Business Events"	24	35	16.4571428571429
"Breur Beveiligingen, Ijzerhandel"	25	38	16.4473684210526
"Amsio (vh Argeweb)"	19	22	16.4090909090909
"Deloitte Consulting"	47	135	16.362962962963
"Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators)"	47	136	16.2426470588235
"Blossom Bloemisterij"	18	20	16.2
"Destil"	18	20	16.2
"Escape Mobility Company (vh H. van Leeuwen, van Leeuwen Companies, CURA Safety Solutions)"	18	20	16.2
"Esra Intern Transport"	18	20	16.2
"KPN Lokale Overheid (vh Gemnet)"	27	45	16.2
"NOREA Nederlandse Orde van Register EDP-Auditors"	18	20	16.2
"OSP Office Service Partners (incl. Du Monde Food, Catering)"	18	20	16.2
"Pluimen (incl. WishWish nl)"	18	20	16.2
"Prowareness Group iSense"	18	20	16.2
"Schwandt Infographics"	18	20	16.2
"Vijverberg Juristen (incl. Detachering)"	18	20	16.2
"PQR"	59	215	16.1906976744186
"IVM Instituut voor Veiligheid & Milieu"	22	30	16.1333333333333
"Het Muntgebouw Utrecht"	17	18	16.0555555555556
"Viadesk"	31	60	16.0166666666667
"Adformatie Groep Uitgeverij"	16	16	16
"Allekabels"	16	16	16
"Binnenlands Bestuur"	16	16	16
"Buitenhof Brasserie"	16	16	16
"CAPRA Centraal Adviesbureau voor Publiek Recht en Administratie"	16	16	16
"CIBT/V&V Visumdienst"	16	16	16
"De Pudding/Saroma [Puddingfabriek]"	16	16	16
"Diensten Stichting Mediation"	16	16	16
"Dierenpark Amersfoort"	16	16	16
"Digital Action"	16	16	16
"Ergo2Work (Dutchrebels Holding)"	16	16	16
"Escrow Europa"	16	16	16
"Frame"	16	16	16
"Heliview"	16	16	16
"HofstadEvents.nl"	16	16	16
"Ikea"	16	16	16
"Kentie Afterprint"	16	16	16
"Klink's Broodjeslijn"	16	16	16
"Lübeck Grand Café Exploitatie"	16	16	16
"Lubron Waterbehandeling"	16	16	16
"Media Markt"	16	16	16
"NVB Federatie Nederlandse Verenigingsbureau"	16	16	16
"NVVK Nederlandse Vereniging Voor Veiligheidskunde"	16	16	16
"Pinkcube"	16	16	16
"Property Nl"	16	16	16
"Saval"	24	36	16
"Veilingmeester"	16	16	16
"Verhuurbedrijf Zuid-Holland"	16	16	16
"Vitam Catering"	16	16	16
"Yourhosting"	16	16	16
"Donker Holding (incl. Donkergroen)"	29	53	15.8679245283019
"OCLC (incl. PICA)"	26	43	15.7209302325581
"Optima Forma"	26	43	15.7209302325581
"Winnock"	19	23	15.695652173913
"KPMG"	45	130	15.5769230769231
"Franke Interim Management"	20	26	15.3846153846154
"Ja-Maar"	20	26	15.3846153846154
"Societeit De Witte Nieuwe of Litteraire"	20	26	15.3846153846154
"Skils"	25	41	15.2439024390244
"Aqua Flor Bloembinders"	17	19	15.2105263157895
"Bax-Shop.nl"	17	19	15.2105263157895
"Clara.Net"	17	19	15.2105263157895
"Master IT"	17	19	15.2105263157895
"Mennens"	17	19	15.2105263157895
"Miele"	17	19	15.2105263157895
"Vandeputte Medical"	17	19	15.2105263157895
"VBT Groep"	17	19	15.2105263157895
"Financieele Dagblad"	22	32	15.125
"Trimension"	22	32	15.125
"E-Office (incl. Work21)"	23	35	15.1142857142857
"VWR International (incl. Omnilabo)"	23	35	15.1142857142857
"NSOB Nederlandse School Voor Openbaar Bestuur"	36	86	15.0697674418605
"Seceurtronics Nederland"	19	24	15.0416666666667
"Sprengers Advocaten (vh Advokatenkollektief)"	19	24	15.0416666666667
"Altec Industriele Identificatie"	15	15	15
"Ankerslot"	15	15	15
"Banketbakkerij Theo Blom"	15	15	15
"Buiten Strandpaviljoen"	15	15	15
"BVA Beurtvaartadres (inc transfollow)"	15	15	15
"Dendy Bar Restaurant"	15	15	15
"De Tuyn Restaurant (J.A.W. Groeneveld)"	15	15	15
"Eten en Zo"	15	15	15
"Flowers4U"	15	15	15
"Foto Konijnenberg"	15	15	15
"Haags Historisch Museum inz. Gevangenpoort"	15	15	15
"Hafo Spec Zaak voor Foto en Video"	15	15	15
"Holland Tour Guides"	15	15	15
"Humanity House"	15	15	15
"Ipma Nl"	15	15	15
"ISVW Instituut voor Wijsbegeerte"	15	15	15
"Lebkov & Sons"	15	15	15
"MOA Markt Onderzoek Associatie"	15	15	15
"Mokum Events"	15	15	15
"Pitch & Putt"	15	15	15
"QO Storm (Maria Café Utrecht)"	15	15	15
"Rajapack"	15	15	15
"Reinaerde"	15	15	15
"Schimmelpenninckhuys Hotel Restaurant"	15	15	15
"Sequenza Restaurant-Brasserie"	15	15	15
"Topa Verpakking"	15	15	15
"Utrechtse Taxicentrale UTC"	15	15	15
"VVM Netwerk van Milieuprofessionals"	15	15	15
"Ordina (incl. Be Value, Clockwork)"	64	274	14.9489051094891
"Swets Info Services (incl. Blackwell, Zeitlinger)"	25	42	14.8809523809524
"Tangram Automatisering"	24	39	14.7692307692308
"Mavim Holding"	29	57	14.7543859649123
"De Bonte Wever Assen (De Smelt)"	18	22	14.7272727272727
"Ecabo Services Stichting"	18	22	14.7272727272727
"Landgoed Huize Bergen"	18	22	14.7272727272727
"Tezet Business Gifts"	18	22	14.7272727272727
"Toyota (incl. Louwman)"	18	22	14.7272727272727
"TRConsult"	18	22	14.7272727272727
"ADLIB Information Systems (inc Axiell)"	21	30	14.7
"Fleurop"	23	36	14.6944444444444
"Balans & Impuls"	22	33	14.6666666666667
"Taalcentrum-Vu"	22	33	14.6666666666667
"Ajax Chubb Varel"	32	70	14.6285714285714
"Koninklijke van den Boer Groep (incl. Oseven, happening and food)"	25	43	14.5348837209302
"ICM Holding"	29	58	14.5
"Hega Offset"	17	20	14.45
"Snow World"	17	20	14.45
"Com Connect"	19	25	14.44
"Internet New Business Concepts (Vergaderruimte-Utrecht.nl)"	19	25	14.44
"Cendris (incl. Cendris Datacosulting)"	24	40	14.4
"NS Stations Retailbedrijf (Seats2Meet.com, vh Servex)"	24	40	14.4
"Tele2 (incl. Versatel, BBeyond)"	43	129	14.3333333333333
